Distance 56842.38 m, after 159 s.
Distance 56663.32 m, after 160 s.
Distance 56484.78 m, after 161 s.
Distance 56306.75 m, after 162 s.
Distance 56129.23 m, after 163 s.
Distance 55952.22 m, after 164 s.
Distance 55775.71 m, after 165 s.
Distance 55599.71 m, after 166 s.
Distance 55424.21 m, after 167 s.
Distance 55249.21 m, after 168 s.
Distance 55074.71 m, after 169 s.
Distance 54900.7 m, after 170 s.
Distance 54727.19 m, after 171 s.
Distance 54554.17 m, after 172 s.
Distance 54381.64 m, after 173 s.
Distance 54209.6 m, after 174 s.
Distance 54038.05 m, after 175 s.
Distance 53866.98 m, after 176 s.
Distance 53696.39 m, after 177 s.
Distance 53526.28 m, after 178 s.
Distance 53356.65 m, after 179 s.
Distance 53187.5 m, after 180 s.
Distance 53018.83 m, after 181 s.
Distance 52850.62 m, after 182 s.
Distance 52682.88 m, after 183 s.
Distance 52515.62 m, after 184 s.
Distance 52348.82 m, after 185 s.
Distance 52182.48 m, after 186 s.
Distance 52016.6 m, after 187 s.
Distance 51851.19 m, after 188 s.
Distance 51686.23 m, after 189 s.
Distance 51521.73 m, after 190 s.
Distance 51357.68 m, after 191 s.
Distance 51194.08 m, after 192 s.
Distance 51030.93 m, after 193 s.
Distance 50868.22 m, after 194 s.
Distance 50705.96 m, after 195 s.
Distance 50544.15 m, after 196 s.
Distance 50382.77 m, after 197 s.
Distance 50221.83 m, after 198 s.
Distance 50061.33 m, after 199 s.
Distance 49901.26 m, after 200 s.
Distance 49741.63 m, after 201 s.
Distance 49582.42 m, after 202 s.
Distance 49423.63 m, after 203 s.
Distance 49265.28 m, after 204 s.
Distance 49107.34 m, after 205 s.
Distance 48949.83 m, after 206 s.
Distance 48792.73 m, after 207 s.
Distance 48636.05 m, after 208 s.
Distance 48479.78 m, after 209 s.
Distance 48323.92 m, after 210 s.
Distance 48168.47 m, after 211 s.
Distance 48013.43 m, after 212 s.
Distance 47858.79 m, after 213 s.
Distance 47704.55 m, after 214 s.
Distance 47550.72 m, after 215 s.
Distance 47397.27 m, after 216 s.
Distance 47244.23 m, after 217 s.
Distance 47091.57 m, after 218 s.
Distance 46939.31 m, after 219 s.
Distance 46787.43 m, after 220 s.
Distance 46635.94 m, after 221 s.
Distance 46484.83 m, after 222 s.
Distance 46334.1 m, after 223 s.
