Distance 3753.6 m, after 559 s.
Distance 3560.85 m, after 560 s.
Distance 3368.58 m, after 561 s.
Distance 3176.87 m, after 562 s.
Distance 2985.85 m, after 563 s.
Distance 2795.66 m, after 564 s.
Distance 2606.48 m, after 565 s.
Distance 2418.56 m, after 566 s.
Distance 2232.23 m, after 567 s.
Distance 2047.92 m, after 568 s.
Distance 1866.25 m, after 569 s.
Distance 1688.06 m, after 570 s.
Distance 1514.59 m, after 571 s.
Distance 1347.67 m, after 572 s.
Distance 1190.08 m, after 573 s.
Distance 1046.04 m, after 574 s.
Distance 921.92 m, after 575 s.
Distance 826.76 m, after 576 s.
Distance 771.35 m, after 577 s.
Distance 764.4 m, after 578 s.
Distance 141528.04 m, after 1 s.
Distance 139159.77 m, after 2 s.
Distance 138760.3 m, after 3 s.
Distance 138361.68 m, after 4 s.
Distance 137963.91 m, after 5 s.
Distance 137566.99 m, after 6 s.
Distance 137170.92 m, after 7 s.
Distance 136775.7 m, after 8 s.
Distance 136381.32 m, after 9 s.
Distance 135987.8 m, after 10 s.
Distance 135595.13 m, after 11 s.
Distance 135203.31 m, after 12 s.
Distance 134812.34 m, after 13 s.
Distance 134422.21 m, after 14 s.
Distance 134032.94 m, after 15 s.
Distance 133644.51 m, after 16 s.
Distance 133256.94 m, after 17 s.
Distance 132870.21 m, after 18 s.
Distance 132484.34 m, after 19 s.
Distance 132099.31 m, after 20 s.
Distance 131715.13 m, after 21 s.
Distance 131331.8 m, after 22 s.
Distance 130949.32 m, after 23 s.
Distance 130567.68 m, after 24 s.
Distance 130186.9 m, after 25 s.
Distance 129806.96 m, after 26 s.
Distance 129427.87 m, after 27 s.
Distance 129049.63 m, after 28 s.
Distance 128672.23 m, after 29 s.
Distance 128295.68 m, after 30 s.
Distance 127919.98 m, after 31 s.
Distance 127545.13 m, after 32 s.
Distance 127171.12 m, after 33 s.
Distance 126797.96 m, after 34 s.
Distance 126425.64 m, after 35 s.
Distance 126054.17 m, after 36 s.
Distance 125683.54 m, after 37 s.
Distance 125313.76 m, after 38 s.
Distance 124944.82 m, after 39 s.
Distance 124576.72 m, after 40 s.
Distance 124209.47 m, after 41 s.
Distance 123843.07 m, after 42 s.
Distance 123477.5 m, after 43 s.
Distance 123112.78 m, after 44 s.
Distance 122748.9 m, after 45 s.
Distance 122385.86 m, after 46 s.
Distance 122023.66 m, after 47 s.
Distance 121662.3 m, after 48 s.
Distance 121301.79 m, after 49 s.
Distance 120942.11 m, after 50 s.
Distance 120583.27 m, after 51 s.
Distance 120225.27 m, after 52 s.
Distance 119868.11 m, after 53 s.
Distance 119511.78 m, after 54 s.
Distance 119156.3 m, after 55 s.
Distance 118801.65 m, after 56 s.
Distance 118447.83 m, after 57 s.
Distance 118094.85 m, after 58 s.
Distance 117742.71 m, after 59 s.
Distance 117391.4 m, after 60 s.
Distance 117040.92 m, after 61 s.
Distance 116691.27 m, after 62 s.
Distance 116342.46 m, after 63 s.
Distance 115994.48 m, after 64 s.
Distance 115647.33 m, after 65 s.
Distance 115301.01 m, after 66 s.
Distance 114955.52 m, after 67 s.
Distance 114610.86 m, after 68 s.
Distance 114267.02 m, after 69 s.
Distance 113924.02 m, after 70 s.
Distance 113581.84 m, after 71 s.
Distance 113240.48 m, after 72 s.
Distance 112899.95 m, after 73 s.
Distance 112560.25 m, after 74 s.
Distance 112221.37 m, after 75 s.
Distance 111883.31 m, after 76 s.
Distance 111546.07 m, after 77 s.
Distance 111209.65 m, after 78 s.
Distance 110874.05 m, after 79 s.
Distance 110539.28 m, after 80 s.
Distance 110205.32 m, after 81 s.
Distance 109872.17 m, after 82 s.
Distance 109539.85 m, after 83 s.
Distance 109208.33 m, after 84 s.
Distance 108877.64 m, after 85 s.
Distance 108547.75 m, after 86 s.
Distance 108218.68 m, after 87 s.
